page_url,image_url,movie_title,description,year,rating_kp,ratintg_imdb,genres,actors,country
https://ithinker.ru/film/bozhestvennye-2016/,https://ithinker.ru/static/images/film/7/55420.jpg,Божественные,"15-летняя хулиганка Дуня из парижского гетто жаждет власти и успеха. Заручившись поддержкой своей лучшей подруги Маймуны, она решает влиться в сеть наркоторговцев. Но когда Дуня встречает молодого танцовщика Дигия, для нее приоткрывается дверь в совершенно иную жизнь.",2016,6.8,7.4,"драма, криминал","Oulaya Amamra, Déborah Lukumuena, Kevin Mishel, Jisca Kalvanda, Yasin Houicha, Majdouline Idrissi Myriam, la mère, Басс Дем","Франция, Катар"
/film/1-1-2011/,/static/images/film/1/4.jpg,1+1,"Филипп, аристократ-миллионер, который стал парализованным из-за несчастного случая нанимает Дрисса, иммигранта из трущоб, недавно вышедшего из тюрьмы, в качестве сиделки по дому. 
Два противоположных мира, которые мало-помалу ладят друг с другом, пока не завязывается дружба, столь же безумная, веселая и прочная, как и неожиданная.",2011,8.8,8.5,драма | комедия | биография,Франсуа Клюзе | Омар Си | Анн Ле Ни | Одри Флеро | Жозефин де Мо La DRH société de courses | Клотильд Молле | Альба Гайя Крагеде Беллуджи,Франция
/film/12-razgnevannykh-muzhchin-1957/,/static/images/film/1/47.jpg,12 разгневанных мужчин,"Юношу обвиняют в убийстве собственного отца, ему грозит электрический стул. Двенадцать присяжных собираются чтобы вынести вердикт: виновен или нет.С начала заседания почти все склонились к тому, что виновен, и лишь только один из двенадцати позволил себе усомниться. Счет голосов присяжных по принципу «виновен — невиновен» был 11:1. К концу собрания мнения судей кардинально изменились…",1957,8.5,9.0,драма | детектив | криминал,Генри Фонда | Мартин Болсам | Ли Дж. Кобб | Джек Уорден | Джозеф Суини | Эд Бегли | Джордж Восковек,США
/film/a-zori-zdes-tikhie-1972/,/static/images/film/1/52.jpg,...А зори здесь тихие,"В прифронтовой полосе группа девушек-зенитчиц вынуждена вступить в неравный бой с вражескими десантниками. Эти девчонки мечтали о большой любви, нежности, семейном тепле — но на их долю выпала жестокая война, и они до конца выполнили свой воинский долг…",1972,8.5,8.2,драма | военный | история,Елена Драпеко Лиза Бричкина | Екатерина Маркова Галя Четвертак | Ольга Остроумова Женя Комелькова | Ирина Шевчук Рита Осянина | Ирина Долганова Соня Гурвич | Андрей Мартынов Федот Евграфович Васков | Людмила Зайцева сержант Кирьянова,СССР
/film/bojjcovskijj-klub-1999/,/static/images/film/1/9.jpg,Бойцовский клуб,"Скучная и однообразная жизнь страдающего изматывающей бессонницей офисного работника круто меняет свое направление после одной командировки. В самолете он знакомится с ярким и пышущим энергией Тайлером Дерденом, который делится с ним своими жизненными принципами. Зачем пытаться что-то создавать, когда можно разрушать и получать от этого удовлетворение. А выпускать скопившийся пар, можно просто устраивая жестокие драки. Создавая с Тайлером первый бойцовский клуб, герой не мог предполагать, насколько масштабным окажется этот проект. У него будет шок, когда он поймет, что собирается сделать его друг Дерден. Но еще страшнее будет узнать, кем является этот жестокий парень на самом деле.",1999,8.6,8.8,триллер | драма | криминал,Эдвард Нортон | Брэд Питт | Хелена Бонем Картер | Мит Лоаф | Зэк Гренье | Холт МакКэллани | Джаред Лето,США | Германия
/film/bolshojj-kush-2000/,/static/images/film/1/28.jpg,Большой куш,"Четырехпалый Френки должен был переправить краденый алмаз из Англии в США своему боссу Эви. Но вместо этого герой попадает в эпицентр больших неприятностей. Сделав ставку на подпольном боксерском поединке, Френки попадает в круговорот весьма нежелательных событий.Вокруг героя и его груза разворачивается сложная интрига с участием множества колоритных персонажей лондонского дна — русского гангстера, троих незадачливых грабителей, хитрого боксера и угрюмого громилы грозного мафиози. Каждый норовит в одиночку сорвать Большой Куш.",2000,8.5,8.3,криминал | комедия | боевик,Джейсон Стэйтем | Брэд Питт | Бенисио Дель Торо | Стивен Грэм | Алан Форд | Деннис Фарина | Раде Шербеджия,Великобритания | США
/film/brat-1997/,/static/images/film/1/124.jpg,Брат,"Демобилизованный из армии, Данила Багров вернулся в родной городок. Но скучная жизнь российской провинции не устраивала его, и он решился податься в Петербург, где, по слухам, уже несколько лет процветает его старший брат. Данила нашел брата. Но все оказалось не так просто — брат был наемным убийцей…",1997,8.3,7.8,боевик | криминал | драма,Сергей Бодров мл. Данила Багров | Виктор Сухоруков Виктор Сергеевич Багров | Светлана Письмиченко Света | Мария Жукова Кэт | Юрий Кузнецов немец | Сергей Мурзин Круглый | Ирина Ракшина Зинка,Россия | США
/film/brat-2-2000/,/static/images/film/1/244.jpg,Брат 2,"Участвуя в программе на телевидении, Данила Багров встречает своих друзей по Чечне. Одного из них внезапно убивают. Данила знает, что у того были неприятности из-за брата-хоккеиста в Америке. Данила должен разобраться. Он вылетает в Америку и для компании берёт с собой брата. Теперь его фотография ходит по рукам русской и американской мафии. Новоявленные «Аль Капоне» понимают, что нарвались на профессионала…",2000,8.1,7.7,драма | криминал | боевик,Сергей Бодров мл. Данила | Виктор Сухоруков Виктор | Сергей Маковецкий Белкин | Ирина Салтыкова играет саму себя | Кирилл Пирогов Илья Сетевой | Александр Дьяченко хоккеист Дмитрий Громов / Константин Громов | Дарья Юргенс Даша,Россия | США
/film/brilliantovaja-ruka-1968/,/static/images/film/1/27.jpg,Бриллиантовая рука,"Кинороман из жизни контрабандистов с прологом и эпилогом. В южном городке орудует шайка «валютчиков», возглавляемая Шефом и его помощником Графом. Скромный советский служащий и примерный семьянин Семен Семеныч Горбунков отправляется в зарубежный круиз на теплоходе, на котором также плывет Граф, который должен забрать бриллианты в одном из восточных городов и провезти их в загипсованной руке. Но в силу недоразумения вместо жулика на условленном месте падает ничего не подозревающий Семен Семенович и драгоценный гипс накладывают ему. Вот тут-то все и начинается…",1968,8.5,8.3,комедия | приключения | криминал | семейный,Юрий Никулин Семен Горбунков | Андрей Миронов Геннадий Козодоев | Анатолий Папанов Лёлик | Нина Гребешкова Надежда Горбункова | Станислав Чекан капитан Михаил Иванович | Владимир Гуляев лейтенант Володя | Нонна Мордюкова управдом,СССР
/film/den-surka-1993/,/static/images/film/1/153.jpg,День сурка,"Фил Коннорс работает на телевидении и ежегодно заезжает в один городок Пенсильвании на праздник Дня сурка. Однако в очередной раз весёлое празднование может обернуться неожиданными последствиями. Просто время внезапно остановилось.

Отныне у Фила в календаре стоит неизменный день - второе февраля, из него ему не удаётся выбраться. Телеведущий старается не впадать в уныние и извлекать какую-то выгоду из такой ситуации: впереди его ждёт неограниченное время и легко прогнозируемое будущее без проблем.

С этого момента Фила не ждёт что-то плохое...и что-то хорошее тоже. Но его заветной мечтой становится наступление третьего февраля...",1993,8.1,8.1,фэнтези | драма | мелодрама | комедия,Билл Мюррей | Энди МакДауэлл | Крис Эллиот | Стивен Тоболовски | Брайан Дойл-Мюррей | Марита Герати | Анджела Пэтон,США
